2026-05-20 17:01:38 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 74 → 100 tickets (total acumulado: 7400)
2026-05-20 17:01:42 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 75 → 100 tickets (total acumulado: 7500)
2026-05-20 17:01:47 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 76 → 100 tickets (total acumulado: 7600)
2026-05-20 17:01:52 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 77 → 100 tickets (total acumulado: 7700)
2026-05-20 17:01:56 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 78 → 100 tickets (total acumulado: 7800)
2026-05-20 17:02:01 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 79 → 100 tickets (total acumulado: 7900)
2026-05-20 17:02:05 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 80 → 100 tickets (total acumulado: 8000)
2026-05-20 17:02:08 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 81 → 100 tickets (total acumulado: 8100)
2026-05-20 17:02:12 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 82 → 100 tickets (total acumulado: 8200)
2026-05-20 17:02:16 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 83 → 100 tickets (total acumulado: 8300)
2026-05-20 17:02:20 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 84 → 100 tickets (total acumulado: 8400)
2026-05-20 17:02:24 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 85 → 100 tickets (total acumulado: 8500)
2026-05-20 17:02:27 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 86 → 100 tickets (total acumulado: 8600)
2026-05-20 17:02:31 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 87 → 100 tickets (total acumulado: 8700)
2026-05-20 17:02:35 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 88 → 100 tickets (total acumulado: 8800)
2026-05-20 17:02:39 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 89 → 100 tickets (total acumulado: 8900)
2026-05-20 17:02:43 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 90 → 100 tickets (total acumulado: 9000)
2026-05-20 17:02:46 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 91 → 100 tickets (total acumulado: 9100)
2026-05-20 17:02:49 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 92 → 100 tickets (total acumulado: 9200)
2026-05-20 17:02:53 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 93 → 100 tickets (total acumulado: 9300)
2026-05-20 17:02:57 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 94 → 100 tickets (total acumulado: 9400)
2026-05-20 17:03:01 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 95 → 100 tickets (total acumulado: 9500)
2026-05-20 17:03:04 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 96 → 100 tickets (total acumulado: 9600)
2026-05-20 17:03:08 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 97 → 100 tickets (total acumulado: 9700)
2026-05-20 17:03:11 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 98 → 100 tickets (total acumulado: 9800)
2026-05-20 17:03:15 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 99 → 100 tickets (total acumulado: 9900)
2026-05-20 17:03:18 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 100 → 100 tickets (total acumulado: 10000)
2026-05-20 17:03:21 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 101 → 100 tickets (total acumulado: 10100)
2026-05-20 17:03:25 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 102 → 100 tickets (total acumulado: 10200)
2026-05-20 17:03:28 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 103 → 100 tickets (total acumulado: 10300)
2026-05-20 17:03:33 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 104 → 100 tickets (total acumulado: 10400)
2026-05-20 17:03:36 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 105 → 100 tickets (total acumulado: 10500)
2026-05-20 17:03:39 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 106 → 100 tickets (total acumulado: 10600)
2026-05-20 17:03:43 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 107 → 100 tickets (total acumulado: 10700)
2026-05-20 17:03:46 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 108 → 100 tickets (total acumulado: 10800)
2026-05-20 17:03:50 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 109 → 100 tickets (total acumulado: 10900)
2026-05-20 17:03:53 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 110 → 100 tickets (total acumulado: 11000)
2026-05-20 17:03:57 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 111 → 100 tickets (total acumulado: 11100)
2026-05-20 17:04:00 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 112 → 100 tickets (total acumulado: 11200)
2026-05-20 17:04:03 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 113 → 100 tickets (total acumulado: 11300)
2026-05-20 17:04:07 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 114 → 100 tickets (total acumulado: 11400)
2026-05-20 17:04:10 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 115 → 100 tickets (total acumulado: 11500)
2026-05-20 17:04:14 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 116 → 100 tickets (total acumulado: 11600)
2026-05-20 17:04:17 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 117 → 100 tickets (total acumulado: 11700)
2026-05-20 17:04:21 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 118 → 100 tickets (total acumulado: 11800)
2026-05-20 17:04:25 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 119 → 100 tickets (total acumulado: 11900)
2026-05-20 17:04:29 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 120 → 100 tickets (total acumulado: 12000)
2026-05-20 17:04:32 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 121 → 100 tickets (total acumulado: 12100)
2026-05-20 17:04:35 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 122 → 100 tickets (total acumulado: 12200)
2026-05-20 17:04:38 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 123 → 100 tickets (total acumulado: 12300)
2026-05-20 17:04:44 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 124 → 100 tickets (total acumulado: 12400)
2026-05-20 17:04:47 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 125 → 100 tickets (total acumulado: 12500)
2026-05-20 17:04:51 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 126 → 100 tickets (total acumulado: 12600)
2026-05-20 17:04:54 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 127 → 100 tickets (total acumulado: 12700)
2026-05-20 17:04:57 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 128 → 100 tickets (total acumulado: 12800)
2026-05-20 17:05:01 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 129 → 100 tickets (total acumulado: 12900)
2026-05-20 17:05:05 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 130 → 100 tickets (total acumulado: 13000)
2026-05-20 17:05:09 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 131 → 100 tickets (total acumulado: 13100)
2026-05-20 17:05:13 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 132 → 100 tickets (total acumulado: 13200)
2026-05-20 17:05:16 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 133 → 100 tickets (total acumulado: 13300)
2026-05-20 17:05:20 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 134 → 100 tickets (total acumulado: 13400)
2026-05-20 17:05:39 | INFO     | __main__:run:28 | ============================================================
2026-05-20 17:05:39 | INFO     | __main__:run:29 | 🚀 ETL Freshdesk → Supabase — iniciando
2026-05-20 17:05:39 | INFO     | __main__:run:30 | ============================================================
2026-05-20 17:05:40 | WARNING  | steps.load:get_last_run:37 | [State] Não foi possível ler etl_state: 'NoneType' object has no attribute 'data'. Usando data inicial.
2026-05-20 17:05:40 | INFO     | steps.load:get_last_run:39 | [State] Nenhum estado anterior — usando initial_sync_date: 2026-05-01T00:00:00Z
2026-05-20 17:05:40 | INFO     | __main__:run:34 | Janela de extração: desde 2026-05-01T00:00:00Z
2026-05-20 17:05:40 | INFO     | steps.extract:sync_agents:22 | [Extract] Sincronizando agentes...
2026-05-20 17:05:40 | DEBUG    | services.freshdesk:fetch_agents:56 | Buscando agentes no Freshdesk...
2026-05-20 17:05:40 | DEBUG    | services.freshdesk:fetch_agents:58 | Agentes encontrados: 8
2026-05-20 17:05:41 | INFO     | steps.extract:sync_agents:43 | [Extract] 8 agentes sincronizados.
2026-05-20 17:05:41 | INFO     | steps.extract:load_lookup_dicts:57 | [Extract] Carregando lookups na memória...
2026-05-20 17:05:42 | DEBUG    | steps.extract:load_lookup_dicts:75 | [Extract] Lookups carregados — agents: 8, reasons: 23, steps: 6
2026-05-20 17:05:42 | INFO     | services.freshdesk:fetch_tickets_since:71 | Buscando tickets atualizados desde 2026-05-01T00:00:00Z
2026-05-20 17:05:46 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 1 → 100 tickets (total acumulado: 100)
2026-05-20 17:05:49 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 2 → 100 tickets (total acumulado: 200)
2026-05-20 17:05:53 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 3 → 100 tickets (total acumulado: 300)
2026-05-20 17:05:57 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 4 → 100 tickets (total acumulado: 400)
2026-05-20 17:06:00 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 5 → 100 tickets (total acumulado: 500)
2026-05-20 17:06:04 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 6 → 100 tickets (total acumulado: 600)
2026-05-20 17:06:08 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 7 → 100 tickets (total acumulado: 700)
2026-05-20 17:06:12 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 8 → 100 tickets (total acumulado: 800)
2026-05-20 17:06:16 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 9 → 100 tickets (total acumulado: 900)
2026-05-20 17:06:21 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 10 → 100 tickets (total acumulado: 1000)
2026-05-20 17:06:24 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 11 → 100 tickets (total acumulado: 1100)
2026-05-20 17:06:29 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 12 → 100 tickets (total acumulado: 1200)
2026-05-20 17:06:33 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 13 → 100 tickets (total acumulado: 1300)
2026-05-20 17:06:37 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 14 → 100 tickets (total acumulado: 1400)
2026-05-20 17:06:41 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 15 → 100 tickets (total acumulado: 1500)
2026-05-20 17:06:45 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 16 → 100 tickets (total acumulado: 1600)
2026-05-20 17:06:49 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 17 → 100 tickets (total acumulado: 1700)
2026-05-20 17:06:53 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 18 → 100 tickets (total acumulado: 1800)
2026-05-20 17:06:57 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 19 → 100 tickets (total acumulado: 1900)
2026-05-20 17:07:02 | DEBUG    | services.freshdesk:fetch_tickets_since:88 | Página 20 → 100 tickets (total acumulado: 2000)
